,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
7664,s778-110,1,0,0,1,1,1,0
7665,s867-110,1,0,0,1,1,1,0
7666,s868-110,1,0,0,1,1,1,1
7667,s901-110,1,1,0,1,1,1,1
7668,s910-110,1,0,0,1,1,1,0
7669,s1012-110,1,0,0,1,1,1,0
7670,s1071-110,1,0,0,1,1,1,0
7671,s1180-110,0,0,0,0,1,1,0
7672,s1207-110,0,0,0,1,1,1,0
7673,s1223-110,1,0,0,1,1,1,0
7674,s123-110,0,0,0,1,1,1,0
7675,s1509-110,1,0,0,1,1,1,0
7676,s1537-110,1,0,0,0,1,1,1
7677,s1588-110,1,0,0,1,1,1,0
7678,s1679-110,1,0,0,1,1,1,1
7679,s1686-110,0,0,0,1,1,1,1
7680,s1874-110,1,0,0,0,1,1,0
7681,s2006-110,0,0,0,1,1,1,0
7682,s2008-110,0,1,0,0,1,1,0
7683,s2028-110,0,0,0,0,1,1,0
7684,s2335-110,1,0,0,0,1,1,0
7685,s2458-110,1,0,0,1,1,1,0
7686,s2510-110,1,0,0,1,1,1,0
7687,s253-110,0,0,0,1,1,1,0
7688,s2652-110,1,0,0,1,1,1,0
7689,s2740-110,0,0,0,1,1,1,0
7690,s2771-110,1,0,0,1,1,1,0
7691,s2789-110,0,0,0,1,1,1,0
7692,s2790-110,1,0,0,1,1,1,0
7693,s2802-110,0,0,0,1,1,1,0
7694,s2826-110,0,0,0,1,1,1,0
7695,s2853-110,1,0,0,0,1,1,0
7696,s29-110,1,0,0,1,1,1,0
7697,s293-110,1,0,0,1,1,1,0
7698,s295-110,1,0,0,1,1,1,0
7699,s2975-110,1,0,0,1,1,1,0
7700,s2985-110,0,0,0,0,1,1,0
7701,s2986-110,0,0,0,0,1,1,0
7702,s2987-110,0,0,0,0,1,1,0
7703,s311-110,1,0,0,1,1,1,1
7704,s3176-110,0,0,0,0,1,1,0
7705,s3285-110,0,0,0,1,1,1,0
7706,s3342-110,0,0,0,0,1,1,0
7707,s3397-110,0,0,0,1,1,1,0
7708,s3438-110,0,0,0,0,1,1,0
7709,s3447-110,0,0,0,0,1,1,0
7710,s3448-110,0,0,0,0,1,1,0
7711,s3449-110,0,0,0,0,1,1,0
7712,s3572-110,1,0,0,1,1,1,0
7713,s3644-110,1,0,0,1,1,1,0
7714,s3647-110,0,0,0,0,1,1,0
7715,s3735-110,0,0,0,0,1,1,0
7716,s379-110,0,0,0,0,1,1,0
7717,s384-110,1,0,0,0,1,1,0
7718,s517-110,0,0,0,1,1,1,0
7719,s537-110,1,0,0,1,1,1,0
7720,s538-110,0,0,0,0,1,1,0
7721,s539-110,1,0,0,0,1,1,0
7722,s664-110,1,0,0,0,1,1,0
7723,s690-110,0,0,0,1,1,1,0
7724,s715-110,1,0,0,0,1,1,0
7725,s738-110,1,0,0,0,1,1,0
7726,s745-110,0,0,0,0,1,1,0
7727,s783-110,0,0,0,1,1,1,1
7728,s808-110,1,0,0,1,1,1,0
7729,s825-110,1,0,0,0,1,1,0
7730,s925-110,0,0,0,0,1,1,0
7731,s981-110,0,0,0,1,1,1,0
7732,s983-110,0,0,0,0,1,1,0
7733,s984-110,0,0,0,0,1,1,0
7734,s1031-110,0,0,0,0,1,1,0
7735,s1032-110,1,0,0,1,1,1,0
7736,s1034-110,0,0,0,0,1,1,0
7737,s1059-110,1,0,0,0,1,1,0
7738,s1063-110,0,0,0,1,1,1,0
