,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
180,hr5075-107,1,0,0,0,0,0,0
181,hr5322-107,1,0,0,0,0,0,0
182,hr1022-107,0,1,0,0,0,0,1
183,hr1444-107,1,0,0,0,0,0,0
184,hr2301-107,1,0,0,0,0,0,1
185,hr2548-107,0,0,0,0,0,0,0
186,hr3386-107,0,0,0,0,0,0,0
187,hr434-107,1,0,0,0,0,0,1
188,hr4589-107,1,0,0,0,0,0,0
189,hr5198-107,0,0,0,0,0,0,0
190,hr5222-107,1,0,0,0,0,0,0
191,hr1023-107,1,0,0,0,0,0,0
192,hr1089-107,1,0,0,0,0,0,0
193,hr1231-107,1,0,0,0,0,0,0
194,hr1303-107,1,0,0,0,0,0,0
195,hr1581-107,1,0,0,0,0,0,0
196,hr1677-107,1,0,0,0,0,0,0
197,hr1711-107,1,0,0,1,0,0,0
198,hr1797-107,1,0,0,0,0,0,0
199,hr1798-107,1,0,0,0,0,0,0
200,hr2383-107,1,0,0,0,0,0,0
201,hr2549-107,1,0,0,0,0,0,0
202,hr2631-107,1,0,0,0,0,0,0
203,hr2749-107,1,0,0,0,0,0,0
204,hr3575-107,0,0,0,0,0,0,0
205,hr5113-107,1,0,0,0,0,0,0
206,hr5174-107,1,0,0,0,0,0,0
207,hr5199-107,1,0,0,0,0,0,0
208,hr5512-107,1,1,0,0,0,0,1
209,hr5662-107,1,0,0,0,0,0,0
210,hr744-107,1,0,0,0,0,0,0
211,hr8-107,1,1,1,1,0,0,1
212,hr824-107,1,0,0,0,0,0,0
213,hr1024-107,1,0,0,0,0,0,0
214,hr1308-107,1,0,0,1,0,0,0
215,hr2316-107,1,0,0,0,0,0,0
216,hr2852-107,0,0,0,0,0,0,0
217,hr2853-107,0,0,0,0,0,0,0
218,hr2854-107,0,0,0,0,0,0,0
219,hr2855-107,0,0,0,0,0,0,0
220,hr2856-107,0,0,0,0,0,0,0
221,hr2857-107,0,0,0,0,0,0,0
222,hr2858-107,0,0,0,0,0,0,0
223,hr2859-107,0,0,0,0,0,0,0
224,hr2860-107,0,0,0,0,0,0,0
225,hr2861-107,0,0,0,0,0,0,0
226,hr4189-107,0,0,0,0,0,0,0
227,hr4190-107,0,0,0,0,0,0,0
228,hr4191-107,0,0,0,0,0,0,0
229,hr4843-107,1,0,0,0,0,0,0
230,hr5203-107,0,0,0,0,0,0,1
231,hr662-107,1,0,0,0,0,0,0
232,hr1025-107,1,0,0,0,0,0,0
233,hr1159-107,0,0,0,0,0,0,0
234,hr1312-107,1,0,0,0,0,0,0
235,hr2057-107,1,0,0,0,0,0,0
236,hr22-107,0,0,0,0,0,0,0
237,hr2596-107,0,0,0,0,0,0,0
238,hr282-107,1,0,0,0,0,0,1
239,hr3428-107,1,0,0,0,0,0,0
240,hr4625-107,0,0,0,0,0,0,0
241,hr1026-107,1,0,0,0,1,0,0
242,hr1257-107,1,0,0,0,1,0,0
243,hr1285-107,1,0,0,1,1,0,0
244,hr2082-107,1,0,0,0,1,0,0
245,hr291-107,1,0,0,0,1,0,0
246,hr3471-107,1,0,0,0,1,0,0
247,hr3592-107,1,0,0,0,1,0,0
248,hr365-107,1,0,0,0,1,0,0
249,hr366-107,1,0,0,0,1,0,0
250,hr4544-107,0,0,0,1,1,0,0
251,hr4594-107,1,0,0,0,1,0,0
252,hr4758-107,1,0,0,0,1,0,0
253,hr5561-107,1,0,0,0,1,0,0
254,hr5593-107,1,0,1,1,1,0,0
255,hr687-107,1,0,0,0,1,0,0
256,hr688-107,1,0,0,0,1,0,0
257,hr794-107,1,0,0,0,1,0,0
258,hr891-107,1,0,0,0,1,0,0
259,hr1027-107,1,0,0,0,1,0,0
260,hr1814-107,1,0,0,1,1,0,1
261,hr1815-107,1,0,1,1,1,0,0
262,hr2062-107,1,0,0,1,1,0,1
263,hr3594-107,1,0,0,0,1,0,0
264,hr4611-107,1,0,0,0,1,0,0
265,hr1029-107,1,0,0,1,0,0,0
266,hr1632-107,1,0,0,0,0,0,0
267,hr175-107,1,0,0,0,0,0,0
268,hr176-107,0,0,0,0,0,0,0
269,hr177-107,0,0,0,0,0,0,0
270,hr178-107,0,0,0,0,0,0,0
271,hr1975-107,1,0,0,0,0,0,0
272,hr3041-107,1,0,1,0,0,0,0
273,hr3369-107,1,0,0,0,0,0,0
274,hr3385-107,1,0,0,0,0,0,0
275,hr3458-107,0,0,0,0,0,0,0
276,hr5309-107,1,0,0,0,0,0,0
277,hr1030-107,1,0,0,0,0,0,0
278,hr1172-107,1,0,0,1,0,0,0
279,hr1202-107,1,0,0,0,0,0,0
280,hr1514-107,1,0,0,0,0,0,0
281,hr1515-107,1,0,0,0,0,0,0
282,hr1516-107,0,0,0,0,0,0,0
283,hr1517-107,1,0,0,0,0,0,0
284,hr1789-107,1,0,0,0,0,0,0
285,hr2036-107,1,0,0,1,0,0,0
286,hr2350-107,1,0,0,0,0,0,0
287,hr2576-107,1,0,0,1,0,0,0
288,hr2618-107,1,0,0,0,0,0,0
289,hr3018-107,0,0,0,0,0,0,0
290,hr3055-107,1,0,0,0,0,0,0
291,hr3332-107,1,0,0,0,0,0,0
292,hr3437-107,1,0,0,1,0,0,0
293,hr3497-107,1,0,0,1,0,0,0
294,hr379-107,1,0,0,0,0,0,0
295,hr4069-107,1,0,0,1,0,0,1
296,hr4070-107,1,1,0,0,0,0,1
297,hr4159-107,1,0,0,0,0,0,0
298,hr4823-107,0,0,0,1,0,0,1
299,hr5450-107,1,0,0,0,0,0,0
300,hr1033-107,1,0,0,0,1,0,0
301,hr1322-107,1,0,0,0,1,0,0
302,hr1637-107,1,0,0,0,1,0,0
303,hr2320-107,1,0,0,1,1,0,0
304,hr5312-107,1,0,0,0,1,0,0
305,hr713-107,1,0,0,0,1,0,0
306,hr714-107,1,0,0,0,1,0,0
307,hr715-107,1,0,0,0,1,0,0
308,hr970-107,1,0,0,0,1,0,0
309,hr1034-107,1,0,0,1,1,0,0
310,hr1528-107,0,0,0,0,1,0,0
311,hr1641-107,1,0,0,0,1,0,0
312,hr1735-107,1,0,0,0,1,0,0
313,hr1832-107,1,0,0,0,1,0,0
314,hr215-107,0,0,0,0,1,0,0
315,hr216-107,0,0,0,0,1,0,0
316,hr217-107,0,0,0,0,1,0,0
317,hr221-107,1,0,0,0,1,0,0
318,hr3602-107,1,0,0,0,1,0,0
319,hr4824-107,0,0,0,0,1,0,0
320,hr4901-107,0,0,0,0,1,0,0
321,hr5471-107,1,0,0,0,1,0,0
322,hr722-107,0,0,0,0,1,0,0
323,hr1036-107,1,0,0,0,1,0,0
324,hr1703-107,1,0,0,0,1,0,0
325,hr2296-107,0,0,0,0,1,0,0
326,hr2297-107,0,0,0,0,1,0,0
327,hr2298-107,0,0,0,0,1,0,0
328,hr2499-107,0,0,0,0,1,0,0
329,hr2643-107,1,0,0,1,1,0,1
330,hr3271-107,1,0,0,0,1,0,0
331,hr4639-107,1,0,0,0,1,0,0
